school_ipeds_id,department,number,title,description
"243744","CS","106A","Programming Methodology","Introduction to the engineering of computer applications using the Python language. Emphasis is on good programming style and the built-in facilities of the Python language."
"243744","CS","161","Design and Analysis of Algorithms","Algorithm design and analysis. Divide-and-conquer, dynamic programming, greedy algorithms, graph algorithms, NP-completeness."
"243744","CS","224N","Natural Language Processing with Deep Learning","Foundations and recent advances in natural language processing using neural networks."
"166683","6","001","Structure and Interpretation of Computer Programs","Computer programming concepts using Scheme/Racket. Procedural and data abstraction, higher-order functions, recursion, modularity."
"166683","6","006","Introduction to Algorithms","Mathematical preliminaries, asymptotics, divide and conquer, dynamic programming, greedy, graph algorithms, complexity."
"166683","6","034","Artificial Intelligence","Search, constraint satisfaction, knowledge representation, reasoning, learning, planning, perception, robotics."
"166027","CS","50","Introduction to Computer Science","Introduction to the intellectual enterprises of computer science and the art of programming."
"110635","CS","61A","The Structure and Interpretation of Computer Programs","Programming paradigms, abstraction, recursion, higher-order functions in Python, Scheme, and SQL."
"110635","CS","61B","Data Structures","Fundamental dynamic data structures: linked lists, trees, heaps, hash tables. Algorithm analysis."
"110635","CS","188","Introduction to Artificial Intelligence","Search, MDPs, reinforcement learning, Bayes nets, probabilistic inference, machine learning."
"110662","CS","31","Introduction to Computer Science I","Foundations of computing in C++: variables, control structures, functions, arrays, classes."
"110662","CS","32","Introduction to Computer Science II","Object-oriented programming and data structures in C++: linked lists, stacks, queues, trees, hashing."
"110680","CSE","8A","Introduction to Programming and Computational Problem-Solving","Python programming for science and engineering students."
"110705","CMPSC","8","Introduction to Computer Science","Introduction to procedural and object-oriented programming for non-majors."
"110404","CS","1","Introduction to Computer Programming","Introduction to programming and the use of the computer for problem-solving in engineering and the sciences."
"123961","CSCI","103","Introduction to Programming","Programming concepts in C++ for engineering and science students."
"130794","CPSC","201","Introduction to Computer Science","Discrete mathematics, programming in Racket and C, computer organization, finite automata."
"186131","COS","126","Computer Science: An Interdisciplinary Approach","Programming, recursion, sorting, searching, machine architecture, networking, scientific computing."
"190150","COMS","1004","Introduction to Computer Science and Programming in Java","Fundamentals of computer programming using the Java language."
"190415","CS","1110","Introduction to Computing: A Design and Development Perspective","Programming and problem solving using Python."
"193900","CS-UY","1133","Engineering Problem Solving and Programming","Algorithmic problem solving using Python."
"215062","CIS","1100","Introduction to Computer Programming","Introduction to programming, object-oriented design, computer architecture using Python and Java."
"211440","15","112","Fundamentals of Programming and Computer Science","Programming concepts in Python: lists, dictionaries, classes, recursion, graphics."
"217156","CSCI","0150","Introduction to Object-Oriented Programming and Computer Science","Java programming, object-oriented design, fundamental data structures."
"144050","CMSC","14100","Introduction to Computer Science I","Functional programming with Racket; recursion, abstraction, and program design."
"147767","COMP_SCI","211","Fundamentals of Computer Programming","Programming fundamentals using Python; data abstraction, recursion, OOP."
"198419","CS","101","Systems and Digital Logic","Computer organization, digital logic, low-level programming and assembly."
"139755","CS","1301","Introduction to Computing","Foundations of computing using Python."
"228778","CS","313E","Elements of Software Design","Programming methodology in C++."
"170976","EECS","280","Programming and Introductory Data Structures","C++ programming, fundamental data structures, algorithm analysis."
"236948","CSE","142","Computer Programming I","Java programming, control flow, methods, parameters, return values."
"236939","CPTS","121","Program Design and Development","Introduction to procedural programming in C; problem-solving and design."
"236939","CPTS","322","Software Engineering Principles I","Software development lifecycle, requirements, design, testing, project management, and team-based development."
"236939","CPTS","355","Database Systems","Relational model, SQL, normalization, query processing, transactions, indexing."
